room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
24893,102015,Entire home/apt,,Amager Øst,1,4.5,4,2.0,174.0,4.0,55.661766,12.606157,2015-02-21 11:58:34.397
26024,109682,Entire home/apt,,Indre By,70,4.5,6,2.0,321.0,3.0,55.675811,12.575127,2015-02-21 16:21:48.296
26033,109727,Entire home/apt,,Vesterbro-Kongens Enghave,36,4.0,4,1.0,146.0,1.0,55.668811,12.548448,2015-02-21 16:37:25.160
26057,109777,Entire home/apt,,Indre By,6,5.0,5,3.0,328.0,4.0,55.692798,12.573138,2015-02-21 17:20:46.963
26181,110598,Entire home/apt,,Indre By,22,4.5,2,1.0,175.0,4.0,55.679491,12.566852,2015-02-21 12:10:28.846
26431,111650,Entire home/apt,,Amager Vest,115,5.0,5,3.0,74.0,2.0,55.639369,12.595195,2015-02-21 12:01:18.285
26473,112210,Entire home/apt,,Indre By,115,4.5,12,6.0,533.0,3.0,55.675895,12.576977,2015-02-21 13:11:02.316
29118,125230,Entire home/apt,,Vesterbro-Kongens Enghave,16,5.0,2,1.0,118.0,7.0,55.670687,12.554304,2015-02-21 17:00:23.182
29206,125648,Entire home/apt,,Østerbro,31,4.5,2,1.0,83.0,2.0,55.70463,12.585197,2015-02-21 10:54:58.200
29281,125810,Private room,,Nørrebro,77,5.0,2,1.0,78.0,3.0,55.693055,12.53938,2015-02-21 12:57:46.390
29569,127310,Entire home/apt,,Amager Øst,40,5.0,4,1.0,64.0,2.0,55.659682,12.618555,2015-02-21 14:05:46.429
29618,127577,Private room,,Indre By,87,4.5,2,1.0,110.0,3.0,55.691978,12.56981,2015-02-21 16:39:09.046
30557,131674,Private room,,Indre By,210,5.0,2,1.0,110.0,2.0,55.681167,12.565207,2015-02-21 12:52:10.411
31952,132055,Private room,,Indre By,2,5.0,2,1.0,146.0,3.0,55.687263,12.581648,2015-02-21 17:33:50.370
32011,125251,Private room,,Nørrebro,124,5.0,2,1.0,88.0,3.0,55.700484,12.546606,2015-02-21 10:34:46.354
32379,140105,Entire home/apt,,Vesterbro-Kongens Enghave,38,5.0,6,3.0,212.0,3.0,55.673391,12.552261,2015-02-21 13:56:07.699
32690,132055,Entire home/apt,,Indre By,7,4.5,6,4.0,256.0,5.0,55.686545,12.581649,2015-02-21 16:39:18.246
32841,142143,Entire home/apt,,Østerbro,5,4.5,4,2.0,110.0,4.0,55.711672,12.568974,2015-02-21 12:17:36.981
33222,144031,Entire home/apt,,Amager Vest,11,4.5,4,1.0,142.0,2.0,55.666633,12.577333,2015-02-21 17:14:49.169
33680,145671,Entire home/apt,,Vesterbro-Kongens Enghave,22,5.0,4,2.0,216.0,2.0,55.667563,12.545105,2015-02-21 14:39:52.652
37159,160390,Entire home/apt,,Indre By,3,5.0,2,1.0,224.0,7.0,55.685722,12.567493,2015-02-21 11:23:25.780
39055,167511,Entire home/apt,,Amager Vest,70,5.0,2,1.0,153.0,1.0,55.663191,12.581922,2015-02-21 14:38:22.339
44847,197617,Entire home/apt,,Indre By,13,4.5,2,1.0,137.0,4.0,55.675576,12.599093,2015-02-21 11:37:11.107
48298,195834,Entire home/apt,,Østerbro,43,5.0,4,2.0,333.0,2.0,55.694605,12.568948,2015-02-21 16:25:39.653
49122,217651,Private room,,Indre By,98,4.5,2,1.0,69.0,3.0,55.689461,12.570879,2015-02-21 18:07:32.657
55852,264028,Entire home/apt,,Østerbro,14,4.5,4,2.0,245.0,2.0,55.707341,12.587993,2015-02-21 11:33:14.277
60048,288615,Entire home/apt,,Vesterbro-Kongens Enghave,42,5.0,2,1.0,219.0,1.0,55.667824,12.548427,2015-02-21 14:40:49.973
61546,298023,Entire home/apt,,Nørrebro,28,4.5,6,1.0,124.0,3.0,55.688334,12.551745,2015-02-21 13:13:19.532
61947,300979,Entire home/apt,,Vesterbro-Kongens Enghave,63,5.0,5,2.0,196.0,,55.673381,12.557936,2015-02-21 18:51:43.160
63888,312092,Entire home/apt,,Nørrebro,11,4.5,5,1.0,89.0,3.0,55.686914,12.552718,2015-02-21 14:40:53.156
63900,312092,Shared room,,Nørrebro,6,5.0,3,1.0,37.0,2.0,55.685038,12.551979,2015-02-21 15:59:50.741
64917,316482,Entire home/apt,,Østerbro,2,5.0,4,3.0,116.0,1.0,55.705755,12.578157,2015-02-21 14:49:20.821
65902,322300,Entire home/apt,,Nørrebro,38,5.0,4,2.0,167.0,5.0,55.704908,12.553309,2015-02-21 13:18:23.646
66250,247510,Entire home/apt,,Vesterbro-Kongens Enghave,10,5.0,2,1.0,145.0,2.0,55.664594,12.542984,2015-02-21 17:21:50.442
66373,324965,Entire home/apt,,Vesterbro-Kongens Enghave,7,4.5,2,2.0,101.0,2.0,55.667693,12.555029,2015-02-21 12:09:39.512
68349,197732,Private room,,Amager Øst,41,4.5,16,1.0,58.0,3.0,55.668345,12.597736,2015-02-21 18:53:27.570
69210,135565,Entire home/apt,,Nørrebro,2,5.0,2,1.0,83.0,4.0,55.69539,12.545749,2015-02-21 12:45:58.610
71653,367579,Entire home/apt,,Nørrebro,30,5.0,2,1.0,122.0,3.0,55.686148,12.557612,2015-02-21 18:12:18.672
74274,390176,Entire home/apt,,Vesterbro-Kongens Enghave,25,5.0,3,1.0,203.0,1.0,55.67186,12.561699,2015-02-21 11:14:54.742
74359,388783,Entire home/apt,,Amager Øst,1,4.5,5,3.0,110.0,2.0,55.664218,12.617625,2015-02-21 13:34:17.007
79172,421948,Entire home/apt,,Vesterbro-Kongens Enghave,7,4.5,2,1.0,88.0,3.0,55.668748,12.557768,2015-02-21 12:08:48.415
82766,450564,Entire home/apt,,Amager Øst,0,,3,2.0,127.0,1.0,55.657753,12.610327,2015-02-21 12:25:22.049
97705,464359,Private room,,Vesterbro-Kongens Enghave,39,5.0,2,1.0,93.0,2.0,55.673494,12.562158,2015-02-21 16:23:16.939
103293,538877,Entire home/apt,,Indre By,1,5.0,7,3.0,261.0,5.0,55.696082,12.581768,2015-02-21 13:59:39.929
104280,542873,Private room,,Nørrebro,26,5.0,2,1.0,78.0,3.0,55.689073,12.557759,2015-02-21 12:43:11.109
104281,542873,Private room,,Nørrebro,31,5.0,2,1.0,78.0,3.0,55.687679,12.559678,2015-02-21 12:45:07.175
