room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
13883819,1078,78674904,Shared room,,Copenhagen,,Vesterbro-Kongens Enghave,6,4.0,4,1.0,,52.0,,2017-04-18 03:55:55.777598,55.671186,12.548267,0101000020E6100000BAF3C473B61829403BC43F6CE9D54B40
8715290,1078,10716191,Shared room,,Copenhagen,,Østerbro,61,4.5,4,1.0,,43.0,,2017-04-18 03:55:53.461815,55.708403,12.563073,0101000020E61000006E85B01A4B202940B3B112F3ACDA4B40
14162456,1078,85657542,Shared room,,Copenhagen,,Brønshøj-Husum,9,4.0,4,1.0,,35.0,,2017-04-18 03:55:52.453837,55.719697,12.474984,0101000020E61000001C3F541A31F32840C00303081FDC4B40
4042250,1078,20960433,Shared room,,Copenhagen,,Vesterbro-Kongens Enghave,0,0.0,4,1.0,,242.0,,2017-04-18 03:55:49.422221,55.673086,12.554858,0101000020E610000012D90759161C29409EB29AAE27D64B40
16526633,1078,7577998,Shared room,,Copenhagen,,Bispebjerg,0,0.0,2,1.0,,131.0,,2017-04-18 03:55:46.273091,55.703851,12.524897,0101000020E61000007A89B14CBF0C2940E22021CA17DA4B40
15418982,1078,3038014,Shared room,,Copenhagen,,Indre By,1,0.0,5,1.0,,117.0,,2017-04-18 03:55:45.458257,55.681343,12.583337,0101000020E6100000F017B325AB2A2940E42D573F36D74B40
1664593,1078,1386103,Shared room,,Copenhagen,,Amager Vest,1,0.0,4,1.0,,102.0,,2017-04-18 03:55:44.534158,55.660497,12.604627,0101000020E6100000A48E8EAB91352940950D6B2A8BD44B40
1554769,1078,1386103,Shared room,,Copenhagen,,Amager Vest,1,0.0,2,1.0,,100.0,,2017-04-18 03:55:44.531002,55.650305,12.611282,0101000020E610000056444DF4F938294070B6B9313DD34B40
12950999,1078,71151176,Shared room,,Copenhagen,,Amager Vest,7,4.5,2,1.0,,99.0,,2017-04-18 03:55:44.524404,55.653784,12.563175,0101000020E61000007FD93D7958202940F452B131AFD34B40
15415130,1078,98767371,Shared room,,Copenhagen,,Amager Vest,0,0.0,2,1.0,,96.0,,2017-04-18 03:55:44.521605,55.617897,12.572414,0101000020E61000008B8BA37213252940F4A5B73F17CF4B40
17085230,1078,53543176,Shared room,,Copenhagen,,Indre By,0,0.0,6,1.0,,89.0,,2017-04-18 03:55:44.518778,55.673855,12.573708,0101000020E61000003AE8120EBD252940809F71E140D64B40
15308717,1078,95252676,Shared room,,Copenhagen,,Brønshøj-Husum,1,0.0,3,1.0,,66.0,,2017-04-18 03:55:43.263728,55.705616,12.510301,0101000020E6100000713B342C4605294065C405A051DA4B40
10354837,1078,7514573,Shared room,,Copenhagen,,Indre By,0,0.0,1,1.0,,77.0,,2017-04-18 03:55:43.261473,55.685823,12.587507,0101000020E61000009757AEB7CD2C29401CEC4D0CC9D74B40
7267322,1078,38052307,Shared room,,Copenhagen,,Amager Øst,2,0.0,3,1.0,,72.0,,2017-04-18 03:55:43.255379,55.66882,12.600052,0101000020E61000007DCC07043A3329409274CDE49BD54B40
18202466,1078,1659540,Shared room,,Copenhagen,,Nørrebro,0,0.0,5,1.0,,79.0,,2017-04-18 03:55:43.252634,55.694856,12.536616,0101000020E61000004B051555BF122940F6B6990AF1D84B40
17395974,1078,117598204,Shared room,,Copenhagen,,Nørrebro,1,0.0,4,1.0,,66.0,,2017-04-18 03:55:43.249670,55.695048,12.540888,0101000020E610000003999D45EF1429403A933655F7D84B40
12970804,1078,57540466,Shared room,,Copenhagen,,Vanløse,6,3.5,2,1.0,,47.0,,2017-04-18 03:55:40.659829,55.698651,12.523346,0101000020E61000001EFCC401F40B2940AA285E656DD94B40
11270237,1078,6319932,Shared room,,Copenhagen,,Amager Vest,2,0.0,4,1.0,,52.0,,2017-04-18 03:55:40.657594,55.623245,12.585856,0101000020E6100000AC545051F52B2940A032FE7DC6CF4B40
13529839,1078,8044170,Shared room,,Copenhagen,,Brønshøj-Husum,4,4.5,2,1.0,,49.0,,2017-04-18 03:55:40.653359,55.714648,12.460488,0101000020E6100000A1664815C5EB28406E13EE9579DB4B40
13703118,1078,5937168,Shared room,,Copenhagen,,Nørrebro,4,5.0,1,1.0,,52.0,,2017-04-18 03:55:40.650711,55.694764,12.546073,0101000020E61000000C7558E1961729401538D906EED84B40
63900,1078,312092,Shared room,,Copenhagen,,Nørrebro,7,5.0,2,1.0,,48.0,,2017-04-18 03:55:40.647997,55.685038,12.551979,0101000020E61000005628D2FD9C1A294035423F53AFD74B40
6907626,1078,9827426,Shared room,,Copenhagen,,Vanløse,0,0.0,1,1.0,,44.0,,2017-04-18 03:55:40.645837,55.690596,12.503066,0101000020E61000008675E3DD91012940CC5F217365D84B40
16863669,1078,34752250,Shared room,,Copenhagen,,Valby,2,0.0,2,1.0,,59.0,,2017-04-18 03:55:40.643610,55.656316,12.513838,0101000020E610000054E23AC615072940B7EBA52902D44B40
1305915,1078,823239,Shared room,,Copenhagen,,Vesterbro-Kongens Enghave,36,5.0,3,1.0,,52.0,,2017-04-18 03:55:40.641247,55.646012,12.535057,0101000020E6100000E3FDB8FDF21129406A696E85B0D24B40
17534129,1078,92800276,Shared room,,Copenhagen,,Indre By,1,0.0,2,1.0,,53.0,,2017-04-18 03:55:40.638359,55.679568,12.590487,0101000020E6100000226DE34F542E29403EB48F15FCD64B40
13742501,1078,54995649,Shared room,,Copenhagen,,Amager Vest,16,4.5,2,1.0,,42.0,,2017-04-18 03:55:40.631857,55.667396,12.596539,0101000020E6100000BC934F8F6D31294098BD6C3B6DD54B40
4474399,1078,19528851,Shared room,,Copenhagen,,Amager Vest,9,4.5,1,1.0,,54.0,,2017-04-18 03:55:40.627360,55.649558,12.609135,0101000020E6100000ABB2EF8AE0372940766D6FB724D34B40
16149089,1078,49600998,Shared room,,Copenhagen,,Nørrebro,17,4.5,2,1.0,,45.0,,2017-04-18 03:55:40.624388,55.68223,12.555549,0101000020E6100000A8A624EB701C2940CF2C095053D74B40
14399508,1078,6524727,Shared room,,Copenhagen,,Vesterbro-Kongens Enghave,20,4.5,2,1.0,,43.0,,2017-04-18 03:55:40.620267,55.651255,12.555323,0101000020E6100000E76ED74B531C2940A12DE7525CD34B40
13883891,1078,78674904,Shared room,,Copenhagen,,Vesterbro-Kongens Enghave,2,0.0,4,1.0,,26.0,,2017-04-18 03:55:39.017103,55.670308,12.549589,0101000020E6100000917BBABA63192940A31F0DA7CCD54B40
1495748,1078,3987207,Shared room,,Copenhagen,,Vesterbro-Kongens Enghave,48,4.0,2,1.0,,30.0,,2017-04-18 03:55:39.014060,55.638349,12.542205,0101000020E61000009274CDE49B1529409737876BB5D14B40
677805,1078,3447755,Shared room,,Copenhagen,,Vanløse,10,4.5,2,1.0,,36.0,,2017-04-18 03:55:39.008688,55.692104,12.475123,0101000020E6100000A227655243F3284024B726DD96D84B40
17679194,1078,6042591,Shared room,,Copenhagen,,Nørrebro,0,0.0,1,1.0,,24.0,,2017-04-18 03:55:37.529044,55.696585,12.544963,0101000020E6100000620FED63051729402CF180B229D94B40
17489447,1078,6042591,Shared room,,Copenhagen,,Nørrebro,0,0.0,1,1.0,,22.0,,2017-04-18 03:55:37.526752,55.696081,12.542379,0101000020E61000000A1346B3B2152940F92EA52E19D94B40
17491964,1078,6042591,Shared room,,Copenhagen,,Nørrebro,1,0.0,1,1.0,,22.0,,2017-04-18 03:55:37.524162,55.697929,12.544093,0101000020E61000000EF7915B931629400AF7CABC55D94B40
17454939,1078,6042591,Shared room,,Copenhagen,,Nørrebro,1,0.0,1,1.0,,22.0,,2017-04-18 03:55:37.521368,55.695407,12.542498,0101000020E6100000734A404CC21529406A34B91803D94B40
17489822,1078,6042591,Shared room,,Copenhagen,,Nørrebro,0,0.0,1,1.0,,22.0,,2017-04-18 03:55:37.516422,55.698209,12.54447,0101000020E6100000664E97C5C4162940ED629AE95ED94B40
17455120,1078,6042591,Shared room,,Copenhagen,,Nørrebro,1,0.0,1,1.0,,22.0,,2017-04-18 03:55:37.514078,55.69725,12.544159,0101000020E6100000ECA529029C1629406891ED7C3FD94B40
13430874,1078,6042591,Shared room,,Copenhagen,,Nørrebro,31,4.0,2,1.0,,22.0,,2017-04-18 03:55:37.511773,55.698365,12.545374,0101000020E61000006B2DCC423B172940E5D5390664D94B40
