room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13008934,71765946,Entire home/apt,,Dublin city and suburbs,5,4.5,2,1.0,138.0,1.0,53.348327,-6.231233,2016-08-30 12:32:55.945441
7670318,40272264,Entire home/apt,,Dublin city and suburbs,6,4.5,2,1.0,115.0,3.0,53.32865,-6.268622,2016-08-30 12:32:54.320824
11041470,44244954,Entire home/apt,,Dublin city and suburbs,47,4.5,2,0.0,92.0,2.0,53.342217,-6.278981,2016-08-30 12:32:22.908106
11918012,20157482,Private room,,Dublin city and suburbs,15,5.0,2,1.0,98.0,2.0,53.347704,-6.279259,2016-08-30 12:32:16.041238
3295492,275555,Private room,,Dublin city and suburbs,15,4.5,1,1.0,33.0,5.0,53.358419,-6.279766,2016-08-30 12:32:01.015083
8991385,16253199,Entire home/apt,,Dublin city and suburbs,59,5.0,7,3.0,184.0,1.0,53.334427,-6.274219,2016-08-30 12:31:53.755624
2665302,13641060,Private room,,Dublin city and suburbs,17,4.5,2,1.0,81.0,2.0,53.321598,-6.25071,2016-08-30 12:31:50.503181
6850346,5688035,Private room,,Dublin city and suburbs,24,5.0,2,1.0,95.0,2.0,53.344172,-6.238146,2016-08-30 12:31:48.593142
3166190,13199268,Private room,,Dublin city and suburbs,67,5.0,4,1.0,69.0,,53.345281,-6.236818,2016-08-30 12:31:44.076515
10386233,3791042,Entire home/apt,,Dublin city and suburbs,8,5.0,2,2.0,115.0,2.0,53.338856,-6.226015,2016-08-30 12:31:28.764929
7426003,38898844,Private room,,Dublin city and suburbs,9,5.0,2,1.0,103.0,3.0,53.343094,-6.240611,2016-08-30 12:31:23.493491
7335693,36418818,Entire home/apt,,Dublin city and suburbs,28,5.0,2,1.0,104.0,3.0,53.375121,-6.269856,2016-08-30 12:31:21.193340
8748471,23101385,Private room,,Dublin city and suburbs,0,,2,1.0,45.0,1.0,53.39866,-6.230016,2016-08-30 12:31:16.822865
8846303,6518465,Private room,,Dublin city and suburbs,34,4.5,1,1.0,44.0,1.0,53.328357,-6.221379,2016-08-30 12:31:13.179179
5345496,24729511,Shared room,,Dublin city and suburbs,7,3.5,1,1.0,20.0,2.0,53.362746,-6.280649,2016-08-30 12:31:08.417175
8163035,9420091,Private room,,Dublin city and suburbs,2,,2,1.0,69.0,1.0,53.352471,-6.286459,2016-08-30 12:31:07.533318
12285598,64957866,Entire home/apt,,Dublin city and suburbs,3,,4,2.0,202.0,5.0,53.337514,-6.240382,2016-08-30 12:31:04.100050
547945,2692493,Private room,,Dublin city and suburbs,224,4.5,1,1.0,40.0,1.0,53.356093,-6.269777,2016-08-30 12:31:00.948209
13345135,75613695,Entire home/apt,,Dublin city and suburbs,3,5.0,4,2.0,138.0,7.0,53.299014,-6.203761,2016-08-30 12:30:59.248128
12207585,65646767,Entire home/apt,,Dublin city and suburbs,11,5.0,4,2.0,173.0,2.0,53.294681,-6.2811,2016-08-30 12:30:54.656589
2791857,12173057,Private room,,Dublin city and suburbs,83,5.0,2,1.0,64.0,2.0,53.388937,-6.247002,2016-08-30 12:30:46.276943
13138375,8608330,Entire home/apt,,Dublin city and suburbs,1,,2,1.0,84.0,3.0,53.331289,-6.23505,2016-08-30 12:30:45.598009
9857707,30411336,Entire home/apt,,Dublin city and suburbs,1,,4,2.0,147.0,3.0,53.354059,-6.234246,2016-08-30 12:30:39.547332
4619365,23366513,Private room,,Dublin city and suburbs,56,4.5,2,1.0,52.0,3.0,53.309382,-6.198277,2016-08-30 12:30:33.326630
8040999,3740760,Private room,,Dublin city and suburbs,1,,2,1.0,44.0,1.0,53.34607,-6.267163,2016-08-30 12:30:32.434212
12246300,63414085,Entire home/apt,,Dublin city and suburbs,1,,5,3.0,173.0,7.0,53.329179,-6.212864,2016-08-30 12:30:23.629183
12736223,4325974,Private room,,Dublin city and suburbs,1,,2,1.0,87.0,2.0,53.285902,-6.328645,2016-08-30 12:30:03.659211
5332689,22283462,Entire home/apt,,Dublin city and suburbs,42,5.0,4,2.0,218.0,3.0,53.321381,-6.244339,2016-08-30 12:29:42.518869
3947526,14193003,Private room,,Dublin city and suburbs,55,5.0,1,1.0,46.0,2.0,53.323418,-6.25159,2016-08-30 12:29:31.009376
7255638,37988613,Private room,,Dublin city and suburbs,18,4.0,1,1.0,45.0,1.0,53.389115,-6.247607,2016-08-30 12:29:26.740326
8004399,25409436,Private room,,Dublin city and suburbs,2,,2,1.0,53.0,1.0,53.320538,-6.376434,2016-08-30 12:29:18.926777
2962455,12756248,Private room,,Dublin city and suburbs,0,,1,1.0,127.0,1.0,53.355066,-6.292212,2016-08-30 12:29:04.190404
3419374,1756632,Entire home/apt,,Dublin city and suburbs,33,4.0,4,2.0,114.0,4.0,53.353177,-6.231233,2016-08-30 12:29:02.422587
12539487,192423,Entire home/apt,,Dublin city and suburbs,9,5.0,3,3.0,112.0,2.0,53.328778,-6.327646,2016-08-30 12:28:59.737946
5897656,9993233,Entire home/apt,,Dublin city and suburbs,19,5.0,2,1.0,109.0,,53.350834,-6.29677,2016-08-30 12:28:56.336604
