room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
9486894,1141,37209255,Shared room,,Dublin,,Dublin city and suburbs,0,,1,1.0,,22.0,,2017-04-24 03:31:02.611830,53.331048,-6.274984,0101000020E61000006CB1DB67951919C0FFB3E6C75FAA4A40
16530688,1141,105956652,Shared room,,Dublin,,Dublin city and suburbs,0,,1,1.0,,41.0,,2017-04-24 03:31:04.506420,53.339593,-6.272206,0101000020E610000093196F2BBD1619C0AB798EC877AB4A40
17872075,1141,85540361,Shared room,,Dublin,,Dublin city and suburbs,0,,3,1.0,,39.0,,2017-04-24 03:31:04.548962,53.357952,-6.249017,0101000020E61000009697FC4FFEFE18C0D6C4025FD1AD4A40
12604270,1141,47251894,Shared room,,Dublin,,Dublin city and suburbs,2,,1,1.0,,28.0,,2017-04-24 03:31:06.300613,53.358353,-6.249678,0101000020E61000006D1FF296ABFF18C035B6D782DEAD4A40
13583207,1141,47251894,Shared room,,Dublin,,Dublin city and suburbs,2,,1,1.0,,28.0,,2017-04-24 03:31:06.303486,53.358801,-6.249143,0101000020E6100000FC1BB4571FFF18C0D462F030EDAD4A40
17544533,1141,47251894,Shared room,,Dublin,,Dublin city and suburbs,0,,1,1.0,,28.0,,2017-04-24 03:31:06.310127,53.360153,-6.246089,0101000020E6100000129F3BC1FEFB18C03447567E19AE4A40
17544947,1141,47251894,Shared room,,Dublin,,Dublin city and suburbs,0,,1,1.0,,28.0,,2017-04-24 03:31:06.315127,53.358717,-6.245786,0101000020E610000035423F53AFFB18C076C24B70EAAD4A40
13584812,1141,47251894,Shared room,,Dublin,,Dublin city and suburbs,2,,1,1.0,,28.0,,2017-04-24 03:31:06.321375,53.358188,-6.248291,0101000020E61000008690F3FE3FFE18C0EAE8B81AD9AD4A40
6255482,1141,32496256,Shared room,,Dublin,,Dublin city and suburbs,2,,1,1.0,,22.0,,2017-04-24 03:31:08.332172,53.347821,-6.282127,0101000020E61000003D4679E6E52019C057EE056685AC4A40
14491555,1141,27781930,Shared room,,Dublin,,Dublin city and suburbs,0,,1,1.0,,33.0,,2017-04-24 03:31:08.334475,53.303135,-6.236165,0101000020E6100000E0D6DD3CD5F118C0F0A2AF20CDA64A40
14207048,1141,24729511,Shared room,,Dublin,,Dublin city and suburbs,0,,1,1.0,,19.0,,2017-04-24 03:31:08.345501,53.362194,-6.277023,0101000020E610000090F5D4EAAB1B19C05A677C5F5CAE4A40
14118147,1141,57792879,Shared room,,Dublin,,Dublin city and suburbs,1,,1,1.0,,22.0,,2017-04-24 03:31:08.350987,53.28966,-6.202531,0101000020E610000067B4554964CF18C0CC7A319413A54A40
4689992,1141,24248618,Shared room,,Dublin,,Dublin city and suburbs,0,,2,1.0,,30.0,,2017-04-24 03:31:09.856105,53.363626,-6.248193,0101000020E61000006F62484E26FE18C0D6FCF84B8BAE4A40
15260877,1141,24694920,Shared room,,Dublin,,Dublin city and suburbs,1,,2,1.0,,39.0,,2017-04-24 03:31:09.875049,53.385897,-6.192406,0101000020E61000007A37161406C518C0F04FA91265B14A40
17878864,1141,42904666,Shared room,,Dublin,,Dublin city and suburbs,0,,2,1.0,,56.0,,2017-04-24 03:31:12.315744,53.34251,-6.234835,0101000020E61000001CD3139678F018C0C746205ED7AB4A40
6811302,1141,35657746,Shared room,,Dublin,,Dublin city and suburbs,1,,2,1.0,,61.0,,2017-04-24 03:31:12.350232,53.377708,-6.275603,0101000020E6100000CCB73EAC371A19C002B859BC58B04A40
17445823,1141,109215036,Shared room,,Dublin,,Dublin city and suburbs,1,,1,1.0,,44.0,,2017-04-24 03:31:12.353935,53.357149,-6.266643,0101000020E61000004ED4D2DC0A1119C04966F50EB7AD4A40
17579355,1141,14012859,Shared room,,Dublin,,Dublin city and suburbs,0,,1,1.0,,61.0,,2017-04-24 03:31:12.355913,53.34448,-6.265413,0101000020E6100000A5BBEB6CC80F19C02310AFEB17AC4A40
17381017,1141,117464939,Shared room,,Dublin,,Dublin city and suburbs,0,,4,1.0,,56.0,,2017-04-24 03:31:12.362539,53.358996,-6.257327,0101000020E6100000DC82A5BA800719C089B2B794F3AD4A40
11075406,1141,34221459,Shared room,,Dublin,,Dublin city and suburbs,0,,3,1.0,,44.0,,2017-04-24 03:31:14.429952,53.255032,-6.174495,0101000020E6100000184339D1AEB218C07CB779E3A4A04A40
17730621,1141,15442620,Shared room,,Dublin,,Dublin city and suburbs,2,,2,1.0,,61.0,,2017-04-24 03:31:14.435642,53.357678,-6.269955,0101000020E6100000159161156F1419C0D53F8864C8AD4A40
15138246,1141,95992820,Shared room,,Dublin,,Dublin city and suburbs,2,,1,1.0,,46.0,,2017-04-24 03:31:14.444791,53.384913,-6.413478,0101000020E61000004276DEC666A719C0126745D444B14A40
14152235,1141,85514505,Shared room,,Dublin,,Dublin city and suburbs,0,,14,1.0,,44.0,,2017-04-24 03:31:14.460816,53.38708,-6.254613,0101000020E6100000B98B3045B90419C0C47762D68BB14A40
5480420,1141,27706477,Shared room,,Dublin,,Dublin city and suburbs,0,,1,1.0,,46.0,,2017-04-24 03:31:14.463220,53.338295,-6.275117,0101000020E6100000664B5645B81919C03EB324404DAB4A40
16936389,1141,22625492,Shared room,,Dublin,,Dublin city and suburbs,0,,3,1.0,,50.0,,2017-04-24 03:31:14.470307,53.374346,-6.270194,0101000020E61000003C4D66BCAD1419C0B8B1D991EAAF4A40
8355105,1141,44016841,Shared room,,Dublin,,Dublin city and suburbs,0,,1,1.0,,56.0,,2017-04-24 03:31:15.931503,53.299668,-6.200725,0101000020E61000005AF5B9DA8ACD18C030D461855BA64A40
17456432,1141,118187009,Shared room,,Dublin,,Dublin city and suburbs,1,,1,1.0,,77.0,,2017-04-24 03:31:17.461756,53.336727,-6.288704,0101000020E6100000C5E57805A22719C01157CEDE19AB4A40
16312530,1141,64283430,Shared room,,Dublin,,Dublin city and suburbs,1,,1,1.0,,72.0,,2017-04-24 03:31:17.464719,53.337565,-6.270209,0101000020E6100000E75608ABB11419C01AA3755435AB4A40
7355856,1141,20051649,Shared room,,Dublin,,Dublin city and suburbs,2,,2,1.0,,66.0,,2017-04-24 03:31:17.467238,53.35137,-6.272,0101000020E61000004A0C022B871619C0D46531B1F9AC4A40
