room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
11241,36329,Entire home/apt,,Murrayfield,19,5.0,2,1.0,118.0,3.0,55.947985,-3.221497,2015-02-20 00:33:34.042
13115,51116,Private room,,Harbour,0,,2,1.0,195.0,2.0,55.975606,-3.167647,2015-02-19 22:51:53.767
13116,51116,Private room,,Lorne,0,,2,1.0,195.0,2.0,55.974177,-3.167298,2015-02-19 22:52:37.903
15420,60423,Entire home/apt,,Broughton,81,5.0,2,1.0,157.0,3.0,55.956892,-3.187677,2015-02-19 22:52:45.493
24288,46498,Entire home/apt,,Southside,64,4.5,5,2.0,197.0,2.0,55.942646,-3.18467,2015-02-20 00:28:15.169
41223,179132,Private room,,New Town,43,5.0,2,1.0,77.0,2.0,55.956795,-3.200793,2015-02-19 22:22:13.871
43236,188704,Private room,,Calton,54,5.0,3,1.0,79.0,2.0,55.9565,-3.173925,2015-02-20 00:30:50.903
44552,195950,Private room,,Lorne,101,4.5,2,1.0,67.0,3.0,55.966,-3.172409,2015-02-19 22:22:54.535
45019,74212,Entire home/apt,,Harbour,81,5.0,5,2.0,177.0,2.0,55.971554,-3.180846,2015-02-20 00:25:46.679
45982,205089,Private room,,Broughton,20,4.5,4,1.0,98.0,1.0,55.962792,-3.18717,2015-02-19 23:51:33.683
48645,221474,Private room,,Holyrood,230,5.0,3,1.0,79.0,2.0,55.951163,-3.183792,2015-02-19 22:21:19.139
54188,253850,Entire home/apt,,Tollcross,4,4.5,6,3.0,364.0,4.0,55.941971,-3.208271,2015-02-19 23:59:45.060
55881,264345,Entire home/apt,,Calton,59,5.0,6,3.0,266.0,2.0,55.96049,-3.178279,2015-02-19 23:01:47.110
57371,273097,Entire home/apt,,Dalry,70,5.0,4,2.0,236.0,4.0,55.947236,-3.212036,2015-02-19 22:33:25.501
58682,281109,Entire home/apt,,Stockbridge,5,5.0,10,4.0,344.0,4.0,55.957475,-3.214751,2015-02-19 22:51:45.546
59944,288464,Entire home/apt,,Tollcross,24,5.0,4,1.0,157.0,2.0,55.944013,-3.205074,2015-02-19 22:40:41.124
74877,394949,Entire home/apt,,Newhaven,4,5.0,4,1.0,276.0,1.0,55.976322,-3.176864,2015-02-19 23:31:35.743
85620,334208,Entire home/apt,,Calton,17,5.0,3,1.0,138.0,2.0,55.961643,-3.176272,2015-02-19 23:27:03.227
93904,502783,Private room,,Murrayfield,164,5.0,2,1.0,108.0,1.0,55.946269,-3.217842,2015-02-20 00:18:50.908
100285,527379,Entire home/apt,,Calton,18,4.5,2,1.0,157.0,3.0,55.956133,-3.174771,2015-02-20 00:08:32.172
112625,574430,Entire home/apt,,Prestonfield,44,5.0,10,5.0,394.0,1.0,55.938948,-3.179981,2015-02-20 00:38:25.536
127886,632899,Private room,,Lorne,104,4.5,2,1.0,94.0,2.0,55.966248,-3.172103,2015-02-19 23:42:01.132
131303,646220,Entire home/apt,,Calton,0,,8,3.0,256.0,4.0,55.959674,-3.181911,2015-02-20 00:32:06.651
131342,646405,Entire home/apt,,Murrayfield,77,4.5,4,1.0,157.0,2.0,55.946819,-3.218152,2015-02-19 22:25:40.688
137001,646405,Entire home/apt,,Murrayfield,54,4.5,4,1.0,157.0,2.0,55.947466,-3.22008,2015-02-19 22:40:48.335
138010,199204,Entire home/apt,,Tollcross,155,5.0,4,1.0,157.0,2.0,55.944998,-3.195061,2015-02-19 22:32:17.952
145325,703882,Entire home/apt,,North Morningside,10,4.5,4,1.0,167.0,3.0,55.92749,-3.211664,2015-02-19 23:59:54.932
163870,33078,Entire home/apt,,Lorne,21,4.5,4,2.0,116.0,7.0,55.977213,-3.168869,2015-02-19 22:34:49.837
170559,813657,Entire home/apt,,Tollcross,35,4.0,2,1.0,118.0,3.0,55.944874,-3.201115,2015-02-19 22:55:01.138
170756,278168,Private room,,Fountainbridge,59,5.0,2,1.0,108.0,2.0,55.944885,-3.210642,2015-02-19 22:20:36.766
170762,278168,Entire home/apt,,Tollcross,123,4.5,4,2.0,216.0,2.0,55.949959,-3.204416,2015-02-19 22:23:55.549
177944,851172,Private room,,Calton,24,4.5,2,1.0,79.0,1.0,55.961062,-3.172016,2015-02-19 22:31:18.940
186691,897409,Private room,,New Town,8,4.5,2,1.0,79.0,2.0,55.95589,-3.207014,2015-02-19 22:57:35.893
187438,886548,Private room,,Tollcross,2,5.0,1,1.0,39.0,3.0,55.944372,-3.203816,2015-02-19 22:43:55.317
188998,646405,Entire home/apt,,Dalry,73,4.5,4,1.0,157.0,2.0,55.945659,-3.21982,2015-02-19 22:59:33.703
197220,960760,Private room,,Sciennes,1,5.0,2,1.0,167.0,1.0,55.938264,-3.188001,2015-02-19 23:17:16.145
212114,179132,Private room,,New Town,33,5.0,2,1.0,93.0,2.0,55.956599,-3.201655,2015-02-19 23:43:59.628
213724,236828,Entire home/apt,,Dalry,4,4.5,2,1.0,148.0,3.0,55.949436,-3.207576,2015-02-20 00:26:07.776
214571,1107698,Entire home/apt,,Holyrood,70,4.5,6,3.0,394.0,2.0,55.950152,-3.188464,2015-02-19 22:42:13.387
216245,173941,Entire home/apt,,Dalry,3,5.0,6,2.0,590.0,2.0,55.943517,-3.219986,2015-02-20 00:04:00.618
229494,1198626,Private room,,Southside,165,5.0,3,1.0,79.0,1.0,55.94374,-3.178025,2015-02-19 23:28:01.322
233093,1220041,Entire home/apt,,Tollcross,14,4.0,7,2.0,193.0,4.0,55.946573,-3.203951,2015-02-19 23:36:31.008
234174,1113616,Private room,,Mayfield,25,5.0,2,1.0,69.0,1.0,55.936951,-3.176278,2015-02-20 00:09:11.884
241511,1267059,Private room,,Broughton,51,4.5,5,1.0,59.0,1.0,55.964694,-3.18772,2015-02-19 23:19:18.013
243941,1280035,Entire home/apt,,Newhaven,22,5.0,12,3.0,136.0,2.0,55.974814,-3.187342,2015-02-20 00:31:33.393
244021,1280381,Shared room,,Holyrood,11,4.5,1,1.0,49.0,1.0,55.952762,-3.190915,2015-02-19 22:48:20.794
247902,1297674,Entire home/apt,,Newhaven,25,5.0,6,2.0,215.0,2.0,55.98085,-3.192997,2015-02-19 23:13:16.941
