room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
9566667,49528379,Shared room,,MELLUNKYLÄ,0,0.0,2,1.0,49.0,,60.239635,25.084183,2017-04-02 06:57:59.249082
12862004,69336926,Shared room,,VALLILA,29,4.0,2,1.0,44.0,,60.197203,24.952046,2017-04-02 06:57:59.241187
15520767,33300566,Shared room,,MUNKKINIEMI,3,5.0,3,1.0,32.0,,60.199941,24.882465,2017-04-02 06:57:58.006750
4619528,4978255,Shared room,,LÄNSISATAMA,0,0.0,2,1.0,303.0,,60.158563,24.919302,2017-04-02 06:57:56.854638
14177288,85350413,Shared room,,VARTIOKYLÄ,0,0.0,2,1.0,99.0,,60.22337,25.072642,2017-04-02 06:57:53.048971
13048869,907817,Shared room,,KATAJANOKKA,1,0.0,1,1.0,55.0,,60.165768,24.971298,2017-04-02 06:57:51.191143
12672385,68822219,Shared room,,SUUTARILA,3,4.0,2,1.0,50.0,,60.267518,24.982847,2017-04-02 06:57:51.188715
4691961,22918846,Shared room,,SUUTARILA,16,4.5,2,1.0,55.0,,60.277115,25.028157,2017-04-02 06:57:51.186130
7702132,40419074,Shared room,,HAAGA,2,0.0,2,1.0,55.0,,60.230734,24.884358,2017-04-02 06:57:51.183738
14083015,55130793,Shared room,,KALLIO,2,0.0,2,1.0,44.0,,60.179205,24.954086,2017-04-02 06:57:51.180809
6144632,8055238,Shared room,,VIIKKI,11,5.0,2,1.0,42.0,,60.232794,25.04198,2017-04-02 06:57:51.177806
10477847,6816045,Shared room,,KALLIO,1,0.0,2,1.0,59.0,,60.185163,24.945171,2017-04-02 06:57:51.172435
12090817,64033445,Shared room,,TAKA-TÖÖLÖ,1,0.0,1,1.0,61.0,,60.186198,24.919679,2017-04-02 06:57:51.169707
7550294,39469558,Shared room,,KALLIO,121,5.0,3,1.0,49.0,,60.178074,24.946873,2017-04-02 06:57:51.166609
14885633,93348857,Shared room,,TOUKOLA,2,0.0,1,1.0,55.0,,60.204725,24.975396,2017-04-02 06:57:51.164164
17940099,123062221,Shared room,,LAUTTASAARI,0,0.0,2,1.0,44.0,,60.159856,24.860768,2017-04-02 06:57:51.161670
12921754,70893159,Shared room,,SÖRNÄINEN,5,5.0,2,1.0,42.0,,60.185384,24.961512,2017-04-02 06:57:51.156405
10079122,49349671,Shared room,,OULUNKYLÄ,3,4.5,1,1.0,12.0,,60.225611,24.953979,2017-04-02 06:57:49.865446
14800003,58819762,Shared room,,HERMANNI,0,0.0,2,1.0,26.0,,60.196747,24.966619,2017-04-02 06:57:49.863330
15741794,91283039,Shared room,,SÖRNÄINEN,3,4.0,1,1.0,28.0,,60.181276,24.959176,2017-04-02 06:57:49.860973
676711,150554,Shared room,,SUOMENLINNA,52,5.0,1,1.0,33.0,,60.14611,24.988364,2017-04-02 06:57:49.858006
9151812,47630803,Shared room,,MELLUNKYLÄ,1,0.0,1,1.0,22.0,,60.242954,25.085951,2017-04-02 06:57:49.855662
3845776,11073323,Shared room,,SÖRNÄINEN,36,4.5,1,1.0,38.0,,60.188773,24.966877,2017-04-02 06:57:49.853330
8745101,45875521,Shared room,,SÖRNÄINEN,59,4.0,3,1.0,26.0,,60.187928,24.963658,2017-04-02 06:57:49.850865
14532673,36523829,Shared room,,KAMPPI,3,5.0,1,1.0,38.0,,60.167435,24.926818,2017-04-02 06:57:49.847243
14759928,89725088,Shared room,,MELLUNKYLÄ,0,0.0,2,1.0,30.0,,60.238197,25.089043,2017-04-02 06:57:49.841476
16229366,21571791,Shared room,,HAAGA,0,0.0,1,1.0,16.0,,60.216914,24.899659,2017-04-02 06:57:49.838746
17460896,118236812,Shared room,,VARTIOKYLÄ,3,5.0,2,1.0,20.0,,60.209396,25.079536,2017-04-02 06:57:49.835230
14573035,86364560,Shared room,,HAAGA,4,4.5,2,1.0,32.0,,60.214455,24.892141,2017-04-02 06:57:49.832744
14234236,86543985,Shared room,,KAARELA,5,4.0,2,1.0,39.0,,60.24008,24.876875,2017-04-02 06:57:48.429730
8049714,4348834,Shared room,,LAUTTASAARI,8,5.0,2,1.0,28.0,,60.157138,24.870867,2017-04-02 06:57:48.427184
661935,974048,Shared room,,HAAGA,53,4.5,1,1.0,21.0,,60.210786,24.884322,2017-04-02 06:57:48.424513
11708995,62243013,Shared room,,VUOSAARI,26,5.0,2,1.0,18.0,,60.202935,25.143304,2017-04-02 06:57:48.422057
14174579,73944062,Shared room,,SUURMETSÄ,5,5.0,3,1.0,38.0,,60.260375,25.068332,2017-04-02 06:57:48.419768
17498576,118042745,Shared room,,HAAGA,0,0.0,1,1.0,11.0,,60.228998,24.898275,2017-04-02 06:57:48.417699
15334012,32025540,Shared room,,TAKA-TÖÖLÖ,1,0.0,1,1.0,33.0,,60.178825,24.924809,2017-04-02 06:57:48.413085
14044889,84189818,Shared room,,KALLIO,0,0.0,2,1.0,38.0,,60.183294,24.951222,2017-04-02 06:57:48.411068
9088697,10800285,Shared room,,LAUTTASAARI,4,4.5,1,1.0,26.0,,60.157629,24.868903,2017-04-02 06:57:48.408595
17007172,114001697,Shared room,,PITÄJÄNMÄKI,6,4.5,4,1.0,20.0,,60.225761,24.845012,2017-04-02 06:57:48.406600
9101894,29583471,Shared room,,KAARELA,61,5.0,3,1.0,18.0,,60.242506,24.85705,2017-04-02 06:57:48.404636
15549192,87781815,Shared room,,MUNKKINIEMI,3,4.5,3,1.0,28.0,,60.198797,24.883278,2017-04-02 06:57:48.400539
16068672,23856277,Shared room,,PITÄJÄNMÄKI,0,0.0,2,1.0,28.0,,60.227198,24.85159,2017-04-02 06:57:48.398462
