room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
17173979,1235,75161483,Shared room,,Helsinki,,HERTTONIEMI,0,0.0,1,1.0,,29.0,,STUDIO Single Room with Balcony,Apartment,2017-05-18 04:03:55.174874,60.20362,25.061576,0101000020E6100000EF37DA71C30F3940E0675C38101A4E40
9101894,1235,29583471,Shared room,,Helsinki,,KAARELA,68,5.0,3,1.0,,20.0,,SHARED cozy room between Helsinki and airport ^^,Apartment,2017-05-18 04:03:55.137028,60.242506,24.85705,0101000020E61000006C09F9A067DB3840B98AC56F0A1F4E40
15176472,1235,95146278,Shared room,,Helsinki,,HERTTONIEMI,3,5.0,2,1.0,,13.0,,"Shared sofa bed in Roihuvuori, 30min to Kamppi",Apartment,2017-05-18 04:03:53.623884,60.200179,25.061015,0101000020E6100000C190D5AD9E0F3940492C29779F194E40
661935,1235,974048,Shared room,,Helsinki,,HAAGA,56,4.5,1,1.0,,20.0,,A bed in a nice room in quiet place,Apartment,2017-05-18 04:03:53.585780,60.210786,24.884322,0101000020E6100000212235ED62E23840323A2009FB1A4E40
17460896,1235,118236812,Shared room,,Helsinki,,VARTIOKYLÄ,11,4.5,2,1.0,,22.0,,Room with good connection to center,Apartment,2017-05-18 04:03:53.580964,60.209396,25.079536,0101000020E6100000CBDAA6785C143940E4F4F57CCD1A4E40
15549192,1235,87781815,Shared room,,Helsinki,,MUNKKINIEMI,10,5.0,3,1.0,,29.0,,"Reasonable cozy shared room,no charge extra people",Apartment,2017-05-18 04:03:53.569421,60.198797,24.883278,0101000020E6100000BB46CB811EE238407EC51A2E72194E40
16990357,1235,83672526,Shared room,,Helsinki,,VUOSAARI,1,0.0,1,1.0,,22.0,,A cozy room for cheap sleep in Helsinki,Apartment,2017-05-18 04:03:53.566127,60.203332,25.121607,0101000020E6100000F5F6E7A2211F39407A1D71C8061A4E40
17809547,1235,17483298,Shared room,,Helsinki,,ALPPIHARJU,0,0.0,1,1.0,,29.0,,Futon couch B&B in my bohemian living room,Bed & Breakfast,2017-05-18 04:03:53.513172,60.188501,24.954317,0101000020E61000004F04711E4EF43840B421FFCC20184E40
3237855,1235,16382756,Shared room,,Helsinki,,KAMPPI,87,5.0,2,1.0,,34.0,,Studio for sharing In Kamppi,Apartment,2017-05-18 04:03:53.509798,60.166465,24.931488,0101000020E6100000D09D60FF75EE3840DE76A1B94E154E40
17235470,1235,3150832,Shared room,,Helsinki,,HERTTONIEMI,3,5.0,2,1.0,,33.0,,Your home in central Helsinki,Apartment,2017-05-18 04:03:53.454426,60.203146,25.063473,0101000020E6100000D32D3BC43F103940172829B0001A4E40
