room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
59778,287596,Entire home/apt,Москва,район Якиманка,0,,4,2.0,247.0,2,55.730809,37.611265,2014-08-24 16:03:43.418
59792,287672,Private room,Москва,район Арбат,27,4.5,4,1.0,68.0,1,55.752874,37.584677,2014-08-24 16:44:39.642
59969,287596,Entire home/apt,Москва,Красносельский район,0,,6,2.0,309.0,2,55.775223,37.641656,2014-08-24 17:15:44.053
59973,287596,Entire home/apt,Москва,район Арбат,0,,6,3.0,324.0,2,55.752813,37.59459,2014-08-24 17:13:28.068
59977,287596,Entire home/apt,Москва,район Арбат,0,,4,2.0,260.0,2,55.752598,37.589866,2014-08-24 17:03:22.887
60512,287596,Entire home/apt,Москва,район Замоскворечье,0,,3,1.0,206.0,2,55.741951,37.635501,2014-08-24 15:53:40.718
61050,287596,Entire home/apt,Москва,район Якиманка,0,,3,1.0,206.0,2,55.735442,37.619169,2014-08-24 16:17:45.037
61646,287596,Entire home/apt,Москва,район Арбат,0,,4,2.0,260.0,2,55.753668,37.587833,2014-08-24 16:00:27.719
61763,287596,Entire home/apt,Москва,район Замоскворечье,2,5.0,4,2.0,247.0,2,55.743446,37.636412,2014-08-24 16:28:08.597
61775,287596,Entire home/apt,Москва,Тверской район,3,4.5,2,1.0,236.0,2,55.758588,37.612807,2014-08-24 17:08:10.012
62408,287596,Entire home/apt,Москва,район Хамовники,0,,4,2.0,175.0,2,55.725592,37.580697,2014-08-24 16:00:07.010
62415,287596,Entire home/apt,Москва,район Замоскворечье,1,4.0,5,2.0,309.0,2,55.731071,37.633306,2014-08-24 16:06:17.724
62813,287596,Entire home/apt,Москва,район Арбат,0,,4,2.0,260.0,2,55.752659,37.591776,2014-08-24 16:25:41.939
63011,287596,Entire home/apt,Москва,район Хамовники,0,,6,3.0,245.0,2,55.743485,37.581407,2014-08-24 16:53:51.923
63013,287596,Entire home/apt,Москва,Тверской район,1,5.0,3,1.0,216.0,2,55.764485,37.608048,2014-08-24 15:59:12.456
63014,287596,Entire home/apt,Москва,район Якиманка,0,,3,1.0,247.0,2,55.736454,37.617502,2014-08-24 16:32:09.176
63025,287596,Entire home/apt,Москва,Тверской район,1,4.0,3,1.0,216.0,2,55.772941,37.593948,2014-08-24 16:49:58.277
63029,287596,Entire home/apt,Москва,Тверской район,0,,3,1.0,216.0,2,55.778387,37.590088,2014-08-24 17:02:50.040
63036,287596,Entire home/apt,Москва,Тверской район,0,,2,1.0,216.0,2,55.771986,37.590183,2014-08-24 16:52:44.296
65108,318320,Entire home/apt,Москва,район Якиманка,16,5.0,6,1.0,113.0,5,55.735354,37.617995,2014-08-24 17:01:30.340
71475,366048,Entire home/apt,Москва,Ломоносовский район,2,5.0,4,1.0,201.0,2,55.685273,37.537544,2014-08-24 16:28:25.034
71698,368055,Entire home/apt,Москва,Южнопортовый район,46,4.5,4,1.0,86.0,1,55.70402,37.680461,2014-08-24 15:54:04.184
