room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6596754,3321880,Shared room,,Reykjavíkurborg,0,0.0,1,1.0,52.0,,64.143976,-21.922073,2016-12-25 15:46:37.613177
10515755,3321880,Shared room,,Reykjavíkurborg,0,0.0,1,1.0,54.0,,64.145523,-21.922858,2016-12-25 15:46:37.611031
10514995,3321880,Shared room,,Reykjavíkurborg,4,5.0,1,1.0,54.0,,64.143349,-21.922889,2016-12-25 15:46:37.605048
3923469,3321880,Shared room,,Reykjavíkurborg,5,4.0,1,1.0,52.0,,64.143615,-21.921995,2016-12-25 15:46:37.602769
10536427,3321880,Shared room,,Reykjavíkurborg,2,0.0,1,1.0,48.0,,64.144135,-21.923462,2016-12-25 15:46:37.600575
10536835,3321880,Shared room,,Reykjavíkurborg,2,0.0,1,1.0,52.0,,64.144803,-21.923561,2016-12-25 15:46:37.598260
10535451,3321880,Shared room,,Reykjavíkurborg,1,0.0,1,1.0,48.0,,64.143392,-21.923237,2016-12-25 15:46:37.594285
10515624,3321880,Shared room,,Reykjavíkurborg,1,0.0,1,1.0,54.0,,64.144052,-21.923171,2016-12-25 15:46:36.171952
6596745,3321880,Shared room,,Reykjavíkurborg,4,4.5,1,1.0,52.0,,64.145009,-21.92342,2016-12-25 15:46:36.169971
2259970,639201,Shared room,,Reykjavíkurborg,2,0.0,4,1.0,43.0,,64.101508,-21.852268,2016-12-25 15:46:36.167402
10515356,3321880,Shared room,,Reykjavíkurborg,4,5.0,1,1.0,54.0,,64.145159,-21.922249,2016-12-25 15:46:36.165511
10515431,3321880,Shared room,,Reykjavíkurborg,0,0.0,1,1.0,54.0,,64.144779,-21.92235,2016-12-25 15:46:36.163392
6596722,3321880,Shared room,,Reykjavíkurborg,2,0.0,1,1.0,52.0,,64.145047,-21.922893,2016-12-25 15:46:36.160137
10536063,3321880,Shared room,,Reykjavíkurborg,9,5.0,1,1.0,48.0,,64.144621,-21.922091,2016-12-25 15:46:36.157994
10515693,3321880,Shared room,,Reykjavíkurborg,15,4.5,1,1.0,54.0,,64.145239,-21.923209,2016-12-25 15:46:36.152360
6594688,3321880,Shared room,,Reykjavíkurborg,1,0.0,1,1.0,52.0,,64.143901,-21.923539,2016-12-25 15:46:36.150149
