room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
16810376,1084,111796713,Shared room,,Reykjavik,,Reykjavíkurborg,0,0.0,4,1.0,,140.0,,2017-04-19 00:59:57.455730,64.109716,-21.815998,0101000020E6100000F699B33EE5D035C045F6419605075040
17392481,1084,11941075,Shared room,,Reykjavik,,Reykjavíkurborg,0,0.0,4,1.0,,126.0,,2017-04-19 00:59:57.452555,64.100061,-21.852597,0101000020E6100000EFAA07CC43DA35C0B9A6406667065040
3071954,1084,15634103,Shared room,,Reykjavik,,Reykjavíkurborg,7,4.5,2,1.0,,96.0,,2017-04-19 00:59:54.915728,64.147546,-21.954768,0101000020E61000007044F7AC6BF435C0F629C76471095040
16157323,1084,31106639,Shared room,,Reykjavik,,Reykjavíkurborg,3,5.0,2,1.0,,65.0,,2017-04-19 00:59:53.653499,64.099,-21.855151,0101000020E610000046240A2DEBDA35C07593180456065040
10515112,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,2,0.0,1,1.0,,55.0,,2017-04-19 00:59:53.216581,64.143193,-21.923327,0101000020E6100000888384285FEC35C00801F9122A095040
3923469,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,5,4.0,1,1.0,,53.0,,2017-04-19 00:59:53.214239,64.143615,-21.921995,0101000020E6100000551344DD07EC35C0C30DF8FC30095040
6597432,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,4,4.0,1,1.0,,55.0,,2017-04-19 00:59:53.211850,64.144898,-21.923114,0101000020E6100000D17AF83251EC35C05FD0420246095040
10536153,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,3,4.0,1,1.0,,49.0,,2017-04-19 00:59:53.209536,64.145084,-21.923725,0101000020E6100000637FD93D79EC35C010CB660E49095040
3923731,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,1,0.0,1,1.0,,53.0,,2017-04-19 00:59:53.205228,64.144789,-21.922012,0101000020E610000001857AFA08EC35C084F4143944095040
10537063,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,1,0.0,1,1.0,,53.0,,2017-04-19 00:59:53.202885,64.14496,-21.921798,0101000020E6100000A98427F4FAEB35C09ACE4E0647095040
10535734,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,0,0.0,1,1.0,,49.0,,2017-04-19 00:59:53.200609,64.144617,-21.922105,0101000020E6100000637AC2120FEC35C0855CA96741095040
10536115,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,2,0.0,1,1.0,,49.0,,2017-04-19 00:59:53.198249,64.145553,-21.922147,0101000020E6100000C11A67D311EC35C06CB587BD50095040
10514332,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,0,0.0,1,1.0,,55.0,,2017-04-19 00:59:53.195107,64.143841,-21.922276,0101000020E6100000BDE2A9471AEC35C0BBB4E1B034095040
10515180,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,0,0.0,1,1.0,,55.0,,2017-04-19 00:59:53.192351,64.143219,-21.921927,0101000020E6100000A54C6A6803EC35C09D4A06802A095040
10536917,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,0,0.0,1,1.0,,53.0,,2017-04-19 00:59:51.769837,64.144676,-21.922368,0101000020E61000007EE02A4F20EC35C00821205F42095040
10537110,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,0,0.0,1,1.0,,53.0,,2017-04-19 00:59:51.767652,64.144613,-21.922212,0101000020E61000008FFAEB1516EC35C0E564E25641095040
10536427,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,2,0.0,1,1.0,,49.0,,2017-04-19 00:59:51.765600,64.144135,-21.923462,0101000020E61000004819710168EC35C060CD018239095040
10515755,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,0,0.0,1,1.0,,55.0,,2017-04-19 00:59:51.763313,64.145523,-21.922858,0101000020E61000001BDA006C40EC35C03674B33F50095040
10535629,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,2,0.0,1,1.0,,49.0,,2017-04-19 00:59:51.761251,64.143762,-21.921478,0101000020E6100000C6FB71FBE5EB35C0151A886533095040
10536835,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,3,4.5,1,1.0,,53.0,,2017-04-19 00:59:51.759195,64.144803,-21.923561,0101000020E61000006EDC627E6EEC35C03657CD7344095040
10515624,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,1,0.0,1,1.0,,55.0,,2017-04-19 00:59:51.756964,64.144052,-21.923171,0101000020E6100000999D45EF54EC35C0193BE12538095040
10536989,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,2,0.0,1,1.0,,53.0,,2017-04-19 00:59:51.754802,64.143782,-21.923388,0101000020E6100000D384ED2763EC35C039F06AB933095040
3473258,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,9,4.5,1,1.0,,53.0,,2017-04-19 00:59:51.752263,64.144223,-21.923684,0101000020E6100000A6D6FB8D76EC35C02F151BF33A095040
6597281,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,0,0.0,1,1.0,,53.0,,2017-04-19 00:59:51.749577,64.144937,-21.922983,0101000020E610000093C3279D48EC35C0BEBED6A546095040
10535451,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,1,0.0,1,1.0,,49.0,,2017-04-19 00:59:51.747545,64.143392,-21.923237,0101000020E61000000875914259EC35C084A0A3552D095040
10514995,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,5,5.0,1,1.0,,55.0,,2017-04-19 00:59:51.743810,64.143349,-21.922889,0101000020E610000091D6187442EC35C084BA48A12C095040
6596754,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,0,0.0,1,1.0,,53.0,,2017-04-19 00:59:51.741530,64.143976,-21.922073,0101000020E61000004D86E3F90CEC35C02BDA1CE736095040
10515552,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,1,0.0,1,1.0,,55.0,,2017-04-19 00:59:51.739397,64.143343,-21.923479,0101000020E6100000F48AA71E69EC35C013471E882C095040
10515356,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,4,5.0,1,1.0,,55.0,,2017-04-19 00:59:51.737244,64.145159,-21.922249,0101000020E6100000CAC4AD8218EC35C0166EF9484A095040
6596676,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,2,0.0,1,1.0,,55.0,,2017-04-19 00:59:51.735174,64.144047,-21.923023,0101000020E6100000B0743E3C4BEC35C09085E81038095040
6596745,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,4,4.5,1,1.0,,53.0,,2017-04-19 00:59:51.733059,64.145009,-21.92342,0101000020E6100000EA78CC4065EC35C00B28D4D347095040
10536063,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,10,4.5,1,1.0,,49.0,,2017-04-19 00:59:51.730574,64.144621,-21.922091,0101000020E61000009AEFE0270EEC35C02654707841095040
10535554,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,7,4.5,1,1.0,,49.0,,2017-04-19 00:59:49.641139,64.145575,-21.923622,0101000020E6100000BADDCB7D72EC35C05F07CE1951095040
10541751,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,0,0.0,1,1.0,,49.0,,2017-04-19 00:59:49.637913,64.143364,-21.922082,0101000020E6100000F33AE2900DEC35C01FDB32E02C095040
6596722,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,2,0.0,1,1.0,,53.0,,2017-04-19 00:59:49.633014,64.145047,-21.922893,0101000020E610000013B534B742EC35C08258367348095040
10536480,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,29,4.5,1,1.0,,49.0,,2017-04-19 00:59:49.630489,64.144687,-21.921876,0101000020E6100000A1F7C61000EC35C0024A438D42095040
10532852,1084,3321880,Shared room,,Reykjavik,,Reykjavíkurborg,36,5.0,1,1.0,,49.0,,2017-04-19 00:59:49.627970,64.144696,-21.923522,0101000020E6100000F22213F06BEC35C02BF702B342095040
