room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8333818,43754832,Entire home/apt,,I Municipio,1,,4,1.0,191.0,3.0,41.904353,12.47755,2016-08-06 09:02:26.190072
924471,4971869,Entire home/apt,,III Municipio,28,4.0,2,1.0,46.0,2.0,41.900152,12.520251,2016-08-06 09:02:19.683874
8211743,43301406,Private room,,XVIII Municipio,0,,2,1.0,40.0,2.0,41.895897,12.456006,2016-08-06 09:02:17.380066
9852744,24401332,Private room,,XVI Municipio,25,5.0,2,1.0,23.0,1.0,41.874591,12.448728,2016-08-06 09:02:11.589486
5160267,26686903,Private room,,VI Municipio,5,5.0,2,1.0,26.0,1.0,41.87769,12.540899,2016-08-06 09:02:09.252410
12508266,48454639,Entire home/apt,,V Municipio,0,,4,2.0,92.0,1.0,41.909617,12.534694,2016-08-06 09:02:08.163949
5870153,814136,Private room,,I Municipio,0,,3,1.0,80.0,1.0,41.89754,12.496653,2016-08-06 09:02:06.695532
4489262,9572711,Entire home/apt,,I Municipio,2,,4,1.0,80.0,2.0,41.897073,12.497036,2016-08-06 09:02:01.608348
13955179,18182244,Private room,,I Municipio,1,,2,1.0,74.0,1.0,41.903912,12.476419,2016-08-06 09:01:58.290102
12528872,17193973,Private room,,I Municipio,0,,2,1.0,167.0,1.0,41.905948,12.499537,2016-08-06 09:01:48.455269
1593687,2565399,Private room,,XIX Municipio,63,4.5,4,1.0,39.0,1.0,41.912799,12.44006,2016-08-06 09:01:45.557748
11157059,6871145,Entire home/apt,,I Municipio,1,,5,2.0,172.0,2.0,41.888948,12.467457,2016-08-06 09:01:43.636047
13650388,3862357,Entire home/apt,,XVI Municipio,4,5.0,6,2.0,58.0,2.0,41.878259,12.458057,2016-08-06 09:01:41.602625
3690743,18787749,Entire home/apt,,XVIII Municipio,0,,4,1.0,115.0,1.0,41.899898,12.434374,2016-08-06 09:01:38.304418
9661588,24025333,Private room,,I Municipio,9,4.5,2,1.0,63.0,1.0,41.905791,12.499864,2016-08-06 09:01:35.927766
7704323,40471242,Private room,,IX Municipio,40,4.5,3,1.0,48.0,1.0,41.88257,12.516725,2016-08-06 09:01:34.221344
5897548,30629799,Entire home/apt,,XVI Municipio,32,4.5,4,1.0,77.0,1.0,41.872809,12.453676,2016-08-06 09:01:21.026776
10641890,50512863,Private room,,I Municipio,10,4.5,4,1.0,92.0,1.0,41.897702,12.502828,2016-08-06 09:01:07.863142
1314043,7174666,Entire home/apt,,I Municipio,47,4.5,3,1.0,80.0,3.0,41.881345,12.47549,2016-08-06 09:00:52.319944
14277955,86452706,Entire home/apt,,XVII Municipio,0,,4,0.0,103.0,3.0,41.908814,12.462038,2016-08-06 09:00:50.037891
1249655,6450091,Entire home/apt,,I Municipio,20,4.0,2,0.0,115.0,,41.892211,12.469109,2016-08-06 09:00:47.958898
12475838,5676745,Private room,,I Municipio,7,4.5,5,1.0,65.0,1.0,41.894807,12.506296,2016-08-06 09:00:45.550252
10128525,25982108,Entire home/apt,,I Municipio,20,4.5,3,1.0,70.0,3.0,41.908946,12.497186,2016-08-06 09:00:44.591156
4284230,10378458,Entire home/apt,,I Municipio,2,,6,2.0,183.0,3.0,41.902126,12.486267,2016-08-06 09:00:40.608683
11960396,39374056,Entire home/apt,,XVI Municipio,4,5.0,2,2.0,58.0,2.0,41.871894,12.45206,2016-08-06 09:00:38.284032
726285,949712,Private room,,XVII Municipio,0,,2,1.0,69.0,2.0,41.906373,12.443473,2016-08-06 09:00:33.494467
13987775,78275589,Entire home/apt,,I Municipio,1,,4,2.0,286.0,,41.895158,12.462404,2016-08-06 09:00:29.332198
959594,3613246,Private room,,III Municipio,20,3.5,2,1.0,54.0,2.0,41.89416,12.514723,2016-08-06 09:00:23.614150
11500200,60574184,Entire home/apt,,I Municipio,3,5.0,4,2.0,286.0,2.0,41.90827,12.480345,2016-08-06 09:00:23.201836
6264663,16888288,Entire home/apt,,XX Municipio,3,4.0,4,1.0,80.0,2.0,41.940464,12.469309,2016-08-06 09:00:14.821809
9316227,5426671,Entire home/apt,,X Municipio,3,4.5,5,2.0,81.0,1.0,41.864248,12.553628,2016-08-06 09:00:12.409848
6754349,35364169,Entire home/apt,,I Municipio,0,,2,1.0,79.0,1.0,41.886934,12.468443,2016-08-06 09:00:07.157900
6936547,36367373,Entire home/apt,,XI Municipio,0,,5,1.0,87.0,2.0,41.865514,12.478421,2016-08-06 08:59:44.877316
12877638,30456407,Entire home/apt,,I Municipio,0,,6,3.0,310.0,3.0,41.903789,12.483088,2016-08-06 08:59:42.513004
6393947,33339025,Entire home/apt,,XVII Municipio,21,4.5,4,2.0,112.0,2.0,41.903183,12.447085,2016-08-06 08:59:41.453614
1784952,6455388,Private room,,X Municipio,11,4.5,1,1.0,36.0,1.0,41.858018,12.562969,2016-08-06 08:59:40.190905
3124351,15869553,Entire home/apt,,I Municipio,158,4.5,3,1.0,87.0,,41.896821,12.506768,2016-08-06 08:59:37.307807
9204562,44528766,Private room,,XX Municipio,1,,3,1.0,45.0,1.0,42.018854,12.376971,2016-08-06 08:59:31.051404
10918461,56591505,Entire home/apt,,IX Municipio,4,5.0,4,2.0,80.0,2.0,41.881244,12.505712,2016-08-06 08:59:25.228674
991917,4813887,Entire home/apt,,I Municipio,18,4.5,5,2.0,92.0,3.0,41.872942,12.484547,2016-08-06 08:59:23.169960
8727711,36764513,Entire home/apt,,I Municipio,36,5.0,2,0.0,74.0,3.0,41.87939,12.472324,2016-08-06 08:59:11.431443
714687,3680673,Entire home/apt,,I Municipio,15,4.5,2,2.0,103.0,2.0,41.877479,12.471239,2016-08-06 08:59:10.923938
11485035,27086129,Entire home/apt,,I Municipio,12,4.5,4,1.0,124.0,2.0,41.89937,12.470158,2016-08-06 08:59:03.763863
7932864,3299247,Private room,,IX Municipio,0,,2,1.0,46.0,1.0,41.882656,12.518599,2016-08-06 08:59:00.764109
13874326,7816674,Private room,,I Municipio,0,,3,1.0,98.0,2.0,41.894072,12.477316,2016-08-06 08:58:54.895036
1750382,9208583,Entire home/apt,,I Municipio,16,5.0,5,2.0,103.0,,41.895837,12.47281,2016-08-06 08:58:52.478318
1905434,3109235,Entire home/apt,,XVI Municipio,11,5.0,4,2.0,71.0,3.0,41.872947,12.466797,2016-08-06 08:58:34.837877
687220,3507178,Entire home/apt,,I Municipio,30,5.0,4,1.0,114.0,4.0,41.887675,12.468632,2016-08-06 08:58:31.198671
1738926,9157114,Entire home/apt,,XVIII Municipio,68,5.0,7,3.0,195.0,,41.899608,12.442024,2016-08-06 08:58:23.576124
11584321,206146,Entire home/apt,,I Municipio,1,,4,2.0,132.0,2.0,41.887717,12.467165,2016-08-06 08:57:55.598363
2807958,4775007,Entire home/apt,,XVIII Municipio,84,5.0,6,2.0,109.0,3.0,41.895354,12.439091,2016-08-06 08:57:52.529028
3557464,17910558,Entire home/apt,,I Municipio,29,5.0,5,1.0,220.0,3.0,41.886936,12.471671,2016-08-06 08:57:45.956690
12948769,43552589,Entire home/apt,,I Municipio,12,4.5,3,1.0,83.0,1.0,41.90693,12.496985,2016-08-06 08:57:41.757872
14046958,39133923,Entire home/apt,,I Municipio,0,,4,1.0,79.0,1.0,41.890761,12.50492,2016-08-06 08:57:35.781898
4380741,13331165,Entire home/apt,,I Municipio,1,,8,2.0,304.0,2.0,41.903396,12.486205,2016-08-06 08:57:33.282295
13589324,8150959,Private room,,XVII Municipio,1,,2,1.0,45.0,4.0,41.917534,12.462406,2016-08-06 08:57:30.628637
10614550,54735840,Private room,,III Municipio,0,,2,1.0,63.0,1.0,41.910738,12.52821,2016-08-06 08:57:28.329975
895090,839650,Entire home/apt,,I Municipio,1,,3,1.0,108.0,7.0,41.899955,12.469024,2016-08-06 08:57:22.947853
11305939,21252374,Private room,,I Municipio,9,4.0,4,1.0,52.0,1.0,41.903062,12.505258,2016-08-06 08:57:21.256705
1226766,6685445,Entire home/apt,,I Municipio,76,4.5,4,1.0,98.0,2.0,41.892753,12.466896,2016-08-06 08:57:01.130013
8385470,44186741,Private room,,I Municipio,2,,2,1.0,103.0,,41.883337,12.499393,2016-08-06 08:56:59.418696
6062453,29588120,Private room,,XVII Municipio,0,,3,1.0,57.0,1.0,41.907455,12.458109,2016-08-06 08:56:54.220379
4806990,24760708,Private room,,XVII Municipio,0,,4,1.0,80.0,2.0,41.909084,12.4539,2016-08-06 08:56:51.293493
54045,248328,Entire home/apt,,XVIII Municipio,8,5.0,5,2.0,135.0,2.0,41.895569,12.458451,2016-08-06 08:56:47.234357
1964705,7472826,Entire home/apt,,XVIII Municipio,1,,2,0.0,69.0,1.0,41.900102,12.434578,2016-08-06 08:56:41.293057
524540,1913274,Entire home/apt,,XVII Municipio,16,5.0,2,1.0,93.0,2.0,41.903804,12.446587,2016-08-06 08:56:30.970023
7335934,276063,Entire home/apt,,I Municipio,1,,5,2.0,183.0,5.0,41.896857,12.500838,2016-08-06 08:56:25.208336
10274424,4404171,Entire home/apt,,III Municipio,3,4.5,5,1.0,58.0,2.0,41.900335,12.515663,2016-08-06 08:56:22.953866
13199903,53821606,Private room,,I Municipio,0,,1,1.0,26.0,,41.903806,12.505569,2016-08-06 08:56:20.520260
4490684,18576678,Entire home/apt,,IX Municipio,2,,4,2.0,46.0,3.0,41.872308,12.524971,2016-08-06 08:56:16.179943
49972,228445,Entire home/apt,,XV Municipio,10,4.5,4,1.0,92.0,7.0,41.867156,12.468041,2016-08-06 08:56:13.538497
1018446,5550854,Private room,,I Municipio,13,4.5,2,1.0,58.0,2.0,41.907808,12.501429,2016-08-06 08:55:59.942115
5043647,26038885,Entire home/apt,,X Municipio,4,4.5,4,1.0,80.0,2.0,41.85625,12.568145,2016-08-06 08:55:56.794018
8170881,22154693,Entire home/apt,,I Municipio,30,5.0,4,2.0,98.0,2.0,41.8999,12.475301,2016-08-06 08:55:53.213816
2787778,2329997,Entire home/apt,,I Municipio,119,4.0,3,1.0,80.0,2.0,41.888223,12.469445,2016-08-06 08:55:46.329591
14117795,14502794,Entire home/apt,,VIII Municipio,0,,4,1.0,46.0,,41.867229,12.626041,2016-08-06 08:55:45.264241
5518610,28620948,Entire home/apt,,II Municipio,35,4.5,6,2.0,64.0,3.0,41.912008,12.504404,2016-08-06 08:55:36.234001
6429768,33551281,Entire home/apt,,V Municipio,8,4.5,4,2.0,80.0,2.0,41.926161,12.534218,2016-08-06 08:55:36.203321
5690903,16611461,Entire home/apt,,I Municipio,28,4.5,4,1.0,109.0,3.0,41.901214,12.472212,2016-08-06 08:55:32.156343
48532,121284,Entire home/apt,,XVIII Municipio,2,,8,3.0,148.0,3.0,41.898475,12.451435,2016-08-06 08:55:28.619981
2536529,6043998,Entire home/apt,,I Municipio,46,4.5,4,1.0,103.0,3.0,41.895452,12.49387,2016-08-06 08:55:23.083875
4664559,6438011,Entire home/apt,,XVI Municipio,1,,2,2.0,80.0,1.0,41.877232,12.439802,2016-08-06 08:55:20.342001
13008040,49172192,Private room,,IX Municipio,6,5.0,2,1.0,35.0,2.0,41.870041,12.516337,2016-08-06 08:54:56.966454
6484018,29987204,Entire home/apt,,XVII Municipio,14,5.0,10,3.0,264.0,1.0,41.907261,12.458952,2016-08-06 08:54:54.534234
6430242,33478179,Entire home/apt,,I Municipio,37,5.0,6,2.0,114.0,2.0,41.892338,12.505943,2016-08-06 08:54:53.218129
1264364,6883872,Entire home/apt,,VI Municipio,107,4.5,4,2.0,58.0,2.0,41.889157,12.525223,2016-08-06 08:54:50.852052
965493,1625802,Entire home/apt,,VI Municipio,55,4.0,9,2.0,103.0,,41.88872,12.525428,2016-08-06 08:54:48.796686
6286325,3079351,Entire home/apt,,XX Municipio,0,,2,1.0,46.0,7.0,41.982326,12.412402,2016-08-06 08:54:47.632361
3089508,15715553,Entire home/apt,,IX Municipio,9,5.0,5,2.0,80.0,2.0,41.869128,12.528705,2016-08-06 08:54:46.454922
4846293,4013464,Private room,,XVI Municipio,3,3.5,2,1.0,29.0,7.0,41.879604,12.458145,2016-08-06 08:54:44.917901
657286,3312739,Private room,,III Municipio,20,4.5,2,1.0,45.0,2.0,41.900055,12.51385,2016-08-06 08:54:43.312549
11425818,5281408,Private room,,XVIII Municipio,0,,2,1.0,107.0,3.0,41.89887,12.456311,2016-08-06 08:54:40.030389
6743404,35309199,Entire home/apt,,I Municipio,69,4.5,4,1.0,69.0,1.0,41.903675,12.476099,2016-08-06 08:54:36.714457
10524110,54263028,Entire home/apt,,I Municipio,5,5.0,4,1.0,172.0,2.0,41.901338,12.475838,2016-08-06 08:54:34.341885
7064528,37041772,Entire home/apt,,I Municipio,34,5.0,4,2.0,127.0,3.0,41.910036,12.478812,2016-08-06 08:54:32.900345
539958,681601,Entire home/apt,,XVI Municipio,3,4.5,6,2.0,149.0,1.0,41.879569,12.467464,2016-08-06 08:54:29.654378
