room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
17365758,1241,69920983,Entire home/apt,,Tallin,,Tallinn,0,0.0,2,1.0,,92.0,,2017-05-19 03:53:42.600071,59.437052,24.749304,0101000020E610000011C30E63D2BF38406153E751F1B74D40
17307914,1241,769402,Entire home/apt,,Tallin,,Tallinn,0,0.0,4,1.0,,92.0,,2017-05-19 03:53:42.585441,59.442842,24.782505,0101000020E6100000DCF4673F52C83840CAA5F10BAFB84D40
10942671,1241,36933236,Entire home/apt,,Tallin,,Tallinn,6,4.0,8,4.0,,100.0,,2017-05-19 03:53:42.581481,59.434305,24.768564,0101000020E610000009E23C9CC0C43840A1BE654E97B74D40
18091165,1241,27423852,Entire home/apt,,Tallin,,Tallinn,0,0.0,4,3.0,,97.0,,2017-05-19 03:53:41.630019,59.430116,24.750239,0101000020E61000000A2FC1A90FC0384040BE840A0EB74D40
11914766,1241,63570815,Entire home/apt,,Tallin,,Tallinn,6,5.0,2,0.0,,85.0,,2017-05-19 03:53:41.617035,59.427956,24.735748,0101000020E6100000F0181EFB59BC384041102043C7B64D40
1280105,1241,4951135,Entire home/apt,,Tallin,,Tallinn,45,5.0,4,1.0,,85.0,,2017-05-19 03:53:41.614367,59.432312,24.750269,0101000020E6100000DF3312A111C038408DD5E6FF55B74D40
17003080,1241,113956304,Entire home/apt,,Tallin,,Tallinn,1,0.0,4,1.0,,85.0,,2017-05-19 03:53:41.602764,59.438579,24.769607,0101000020E6100000CEC5DFF604C538402FDB4E5B23B84D40
18659443,1241,12712221,Entire home/apt,,Tallin,,Tallinn,0,0.0,4,0.0,,92.0,,2017-05-19 03:53:41.597844,59.426689,24.739508,0101000020E61000006021736550BD38400F48C2BE9DB64D40
4800579,1241,2957113,Entire home/apt,,Tallin,,Tallinn,3,4.5,4,3.0,,69.0,,2017-05-19 03:53:14.598176,59.428602,24.712115,0101000020E6100000B5FD2B2B4DB6384006802A6EDCB64D40
6109783,1241,31703083,Entire home/apt,,Tallin,,Tallinn,0,0.0,7,0.0,,80.0,,2017-05-19 03:51:51.136863,59.43928,24.877587,0101000020E61000000E65A88AA9E03840B8E4B8533AB84D40
10999885,1241,55856000,Entire home/apt,,Tallin,,Tallinn,0,0.0,4,1.0,,46.0,,2017-05-19 03:48:20.941881,59.396695,24.707027,0101000020E61000009563B2B8FFB438404DBED9E6C6B24D40
10469760,1241,53952950,Entire home/apt,,Tallin,,Tallinn,2,0.0,2,0.0,,44.0,,2017-05-19 03:48:00.162689,59.43614,24.725524,0101000020E61000008E76DCF0BBB938401D3D7E6FD3B74D40
6419638,1241,33491098,Entire home/apt,,Tallin,,Tallinn,1,0.0,4,2.0,,29.0,,2017-05-19 03:45:07.186978,59.409066,24.672201,0101000020E6100000A8565F5D15AC3840E9F351465CB44D40
10383788,1241,43416895,Entire home/apt,,Tallin,,Tallinn,13,5.0,2,0.0,,31.0,,2017-05-19 03:45:02.466979,59.41669,24.706843,0101000020E61000001268B0A9F3B43840FE48111956B54D40
15606098,1241,76863483,Entire home/apt,,Tallin,,Tallinn,1,0.0,5,1.0,,35.0,,2017-05-19 03:44:49.486997,59.430842,24.752248,0101000020E61000003E7B2E5393C0384022DFA5D425B74D40
13705560,1241,23082949,Entire home/apt,,Tallin,,Tallinn,2,0.0,2,1.0,,23.0,,2017-05-19 03:44:45.158998,59.429165,24.77188,0101000020E6100000BD6F7CED99C538403ECBF3E0EEB64D40
8453104,1241,44317104,Entire home/apt,,Tallin,,Tallinn,15,5.0,2,1.0,,35.0,,2017-05-19 03:44:42.512051,59.428267,24.718408,0101000020E61000004D2F3196E9B738405F7AFB73D1B64D40
4858017,1241,24870073,Entire home/apt,,Tallin,,Tallinn,6,5.0,2,0.0,,40.0,,2017-05-19 03:44:36.770981,59.438893,24.764859,0101000020E6100000200DA7CCCDC33840BFB854A52DB84D40
15460651,1241,17367967,Entire home/apt,,Tallin,,Tallinn,12,5.0,4,1.0,,29.0,,2017-05-19 03:44:35.218978,59.429782,24.752116,0101000020E610000060CC96AC8AC038406A34B91803B74D40
8267550,1241,43569352,Entire home/apt,,Tallin,,Tallinn,7,4.5,3,1.0,,40.0,,2017-05-19 03:44:24.521720,59.43933,24.764493,0101000020E61000005C0531D0B5C338406A1327F73BB84D40
