room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
7708925,1125,40491621,Private room,,Vienna,17,1702,2,,3,1.0,,33.0,,2017-04-15 02:38:50.809207,48.218366,16.331313,0101000020E61000005ABDC3EDD05430407847C66AF31B4840
17994374,1125,90501212,Private room,,Vienna,05,0502,1,,4,2.0,,36.0,,2017-04-15 02:38:50.812973,48.183183,16.364693,0101000020E610000083143C855C5D30407217618A72174840
17374077,1125,12108156,Private room,,Vienna,16,1602,1,,2,1.0,,22.0,,2017-04-15 02:38:52.484051,48.207722,16.331285,0101000020E6100000C6A70018CF54304071546EA2961A4840
17619457,1125,119787646,Private room,,Vienna,04,0402,1,,2,1.0,,35.0,,2017-04-15 02:38:52.499804,48.186561,16.374312,0101000020E6100000178046E9D25F3040C2DA183BE1174840
18070970,1125,124408795,Private room,,Vienna,07,0702,2,,1,1.0,,25.0,,2017-04-15 02:38:54.118254,48.201345,16.359677,0101000020E6100000971FB8CA135C3040481B47ACC5194840
17378424,1125,83459141,Private room,,Vienna,10,1004,0,,2,1.0,,21.0,,2017-04-15 02:38:54.123338,48.175666,16.374763,0101000020E610000038C0CC77F05F3040738236397C164840
15922308,1125,103309367,Private room,,Vienna,22,2217,0,,1,1.0,,22.0,,2017-04-15 02:39:24.711476,48.213725,16.442156,0101000020E6100000EDBAB7223171304036AB3E575B1B4840
14262320,1125,77326373,Private room,,Vienna,22,2206,1,,1,1.0,,18.0,,2017-04-15 02:39:24.718784,48.235842,16.481363,0101000020E61000002481069B3A7B3040F9821612301E4840
17567359,1125,109098682,Private room,,Vienna,22,2229,0,,1,5.0,,12.0,,2017-04-15 02:39:27.683172,48.218368,16.544966,0101000020E6100000936E4BE4828B3040183F8D7BF31B4840
16607259,1125,109098682,Private room,,Vienna,22,2229,0,,5,4.0,,10.0,,2017-04-15 02:39:27.694371,48.218698,16.543477,0101000020E6100000D120054F218B3040AED9CA4BFE1B4840
16608147,1125,109098682,Private room,,Vienna,22,2229,1,,5,4.0,,16.0,,2017-04-15 02:39:27.698012,48.219313,16.543608,0101000020E61000000ED8D5E4298B3040384BC972121C4840
18140027,1125,26943442,Private room,,Vienna,20,2002,0,,1,1.0,,19.0,,2017-04-15 02:39:28.929239,48.23799,16.38738,0101000020E6100000DE1FEF552B6330403563D174761E4840
18216132,1125,20167894,Private room,,Vienna,03,0301,0,,3,1.0,,22.0,,2017-04-15 02:39:28.943609,48.211445,16.388748,0101000020E6100000AA622AFD846330408CF337A1101B4840
16850776,1125,112220538,Private room,,Vienna,09,0901,0,,2,1.0,,21.0,,2017-04-15 02:39:30.145114,48.230914,16.36128,0101000020E6100000EAB298D87C5C3040221807978E1D4840
18193694,1125,1392454,Private room,,Vienna,19,1902,0,,2,1.0,,23.0,,2017-04-15 02:39:30.157005,48.256736,16.367283,0101000020E610000074603942065E304059DAA9B9DC204840
17196732,1125,115770666,Private room,,Vienna,20,2004,0,,2,1.0,,27.0,,2017-04-15 02:39:30.159536,48.245961,16.371141,0101000020E61000006A34B918035F3040B58B69A67B1F4840
17727492,1125,118852472,Private room,,Vienna,03,0302,0,,1,1.0,,20.0,,2017-04-15 02:39:30.173217,48.202301,16.39644,0101000020E610000084D382177D6530405B79C9FFE4194840
9900495,1125,50915804,Private room,,Vienna,22,2219,0,,1,1.0,,41.0,,2017-04-15 02:39:30.175353,48.223358,16.454185,0101000020E61000007155D9774574304065A6B4FE961C4840
14364462,1125,77326373,Private room,,Vienna,22,2217,0,,1,1.0,,19.0,,2017-04-15 02:39:32.036856,48.212525,16.441839,0101000020E6100000EC18575C1C7130408C4AEA04341B4840
17873054,1125,99297340,Private room,,Vienna,17,1702,1,,1,1.0,,16.0,,2017-04-15 02:38:54.144007,48.214097,16.32815,0101000020E6100000B22E6EA301543040FB95CE87671B4840
18052496,1125,8536698,Private room,,Vienna,20,2002,2,,3,1.0,,24.0,,2017-04-15 02:38:54.149068,48.233267,16.390768,0101000020E6100000C652245F09643040361E6CB1DB1D4840
18083718,1125,44901197,Private room,,Vienna,06,0601,0,,2,1.0,,31.0,,2017-04-15 02:38:55.602161,48.196581,16.355885,0101000020E6100000102384471B5B3040EB01F39029194840
